0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 200 6908
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685110353&rows=20&page=1&sidx=&sord=asc&_=1467685110066 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 200 6985
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:17 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:18 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:19 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685218073&rows=20&page=1&sidx=&sord=asc&_=1467685217791 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:23 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:24 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:20:25 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685224097&rows=20&page=1&sidx=&sord=asc&_=1467685223789 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:02 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:02 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:02 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:02 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 200 6985
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:02 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:21:03 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685263405&rows=20&page=1&sidx=&sord=asc&_=1467685263105 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11991
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:21 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:22 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:36:22 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467686182093&rows=20&page=1&sidx=&sord=asc&_=1467686181792 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11544
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:33 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:37:34 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467686253776&rows=20&page=1&sidx=&sord=asc&_=1467686253487 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:39:07 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11561
